ANY-N BATCH CLEAN COPY
tested 42
captured 42/42
laneHits 0
stepMin 0
stepAvg 14.00
stepMedian 3
stepMax 94
stepPct0 11.9%
stepPct1to10 59.5%
stepPct11to100 28.6%
stepPct101to1000 0.0%
stepPct1001to10000 0.0%
stepPct10000plus 0.0%
worstAmp 8191 x831
slowest 2047 steps 94
highestNormalizedDelay 31 14.331285
highestDelayDensity 63 36.000000
latestPeak 63 87.50%
longestOddRun 31 run=1
longestEvenRun 255 run=6
slowestOmegaDrift 2047 drift=1.713948
highestAutocorr 33 0.500000
peakMod6 r0:1 · r2:6 · r4:34 · r5:1
peakMod12 r4:34 · r5:1 · r6:1 · r8:6
thermoMostStable 32 G=0.000000
phaseDistribution CRYSTALLIZED: 34 · FROZEN: 8
hoverStepsCorr 0.745783

start 128 | status CAPTURED | door BELOW-SELF | steps 1 | normDelay 0.142857 | delayDensity 0.333333 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 2 | peakMod12 8 | maxOddRun 0 | maxEvenRun 1 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase CRYSTALLIZED | entropy 0.0000 | gibbs 0.0000 | amp x1 | odd/even 0/1 | anchor none | below 64 | lane NO
start 129 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.427885 | delayDensity 1.000000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5296 | amp x3 | odd/even 1/2 | anchor none | below 97 | lane NO
start 183 | status CAPTURED | door BELOW-SELF | steps 8 | normDelay 1.064438 | delayDensity 2.666667 | peakPhase MID SPIKE | peakPct 62.50% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 3 | omegaDrift 20.833333 | autocorr 0.285714 | thermoPhase CRYSTALLIZED | entropy 0.9544 | gibbs 0.3451 | amp x6 | odd/even 3/5 | anchor none | below 155 | lane NO
start 184 | status CAPTURED | door ANCHOR/COLLECTOR | steps 0 | normDelay 0.000000 | delayDensity 0.000000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 4 | peakMod12 4 | maxOddRun 0 | maxEvenRun 0 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase FROZEN | entropy 1.0000 | gibbs 0.0000 | amp x1 | odd/even 0/0 | anchor 184 | below none | lane NO
start 185 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.398333 | delayDensity 1.000000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5292 | amp x3 | odd/even 1/2 | anchor none | below 139 | lane NO
start 255 | status CAPTURED | door BELOW-SELF | steps 21 | normDelay 2.626854 | delayDensity 7.000000 | peakPhase LATE SPIKE | peakPct 71.43% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 6 | omegaDrift 7.738095 | autocorr 0.250000 | thermoPhase CRYSTALLIZED | entropy 0.9587 | gibbs 0.2707 | amp x51 | odd/even 8/13 | anchor none | below 205 | lane NO
start 256 | status CAPTURED | door BELOW-SELF | steps 1 | normDelay 0.125000 | delayDensity 0.333333 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 4 | peakMod12 4 | maxOddRun 0 | maxEvenRun 1 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase CRYSTALLIZED | entropy 0.0000 | gibbs 0.0000 | amp x1 | odd/even 0/1 | anchor none | below 128 | lane NO
start 257 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.374737 | delayDensity 1.000000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5289 | amp x3 | odd/even 1/2 | anchor none | below 193 | lane NO
start 511 | status CAPTURED | door BELOW-SELF | steps 29 | normDelay 3.223232 | delayDensity 9.666667 | peakPhase MID SPIKE | peakPct 58.62% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 6 | omegaDrift 5.642633 | autocorr 0.250000 | thermoPhase CRYSTALLIZED | entropy 0.9576 | gibbs 0.2161 | amp x77 | odd/even 11/18 | anchor none | below 346 | lane NO
start 512 | status CAPTURED | door BELOW-SELF | steps 1 | normDelay 0.111111 | delayDensity 0.333333 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 2 | peakMod12 8 | maxOddRun 0 | maxEvenRun 1 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase CRYSTALLIZED | entropy 0.0000 | gibbs 0.0000 | amp x1 | odd/even 0/1 | anchor none | below 256 | lane NO
start 513 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.333229 | delayDensity 1.000000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5286 | amp x3 | odd/even 1/2 | anchor none | below 385 | lane NO
start 1023 | status CAPTURED | door BELOW-SELF | steps 29 | normDelay 2.900409 | delayDensity 7.250000 | peakPhase MID SPIKE | peakPct 65.52% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 5 | omegaDrift 5.642633 | autocorr 0.250000 | thermoPhase CRYSTALLIZED | entropy 0.9576 | gibbs 0.2362 | amp x115 | odd/even 11/18 | anchor none | below 692 | lane NO
start 1024 | status CAPTURED | door BELOW-SELF | steps 1 | normDelay 0.100000 | delayDensity 0.250000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 4 | peakMod12 4 | maxOddRun 0 | maxEvenRun 1 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase CRYSTALLIZED | entropy 0.0000 | gibbs 0.0000 | amp x1 | odd/even 0/1 | anchor none | below 512 | lane NO
start 1025 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.299958 | delayDensity 0.750000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5285 | amp x3 | odd/even 1/2 | anchor none | below 769 | lane NO
start 2047 | status CAPTURED | door BELOW-SELF | steps 94 | normDelay 8.546002 | delayDensity 23.500000 | peakPhase MID SPIKE | peakPct 47.87% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 5 | omegaDrift 1.713948 | autocorr 0.236559 | thermoPhase CRYSTALLIZED | entropy 0.9601 | gibbs 0.0783 | amp x623 | odd/even 36/58 | anchor none | below 1067 | lane NO
start 2048 | status CAPTURED | door BELOW-SELF | steps 1 | normDelay 0.090909 | delayDensity 0.250000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 2 | peakMod12 8 | maxOddRun 0 | maxEvenRun 1 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase CRYSTALLIZED | entropy 0.0000 | gibbs 0.0000 | amp x1 | odd/even 0/1 | anchor none | below 1024 | lane NO
start 2049 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.272710 | delayDensity 0.750000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5284 | amp x3 | odd/even 1/2 | anchor none | below 1537 | lane NO
start 3076 | status CAPTURED | door BELOW-SELF | steps 1 | normDelay 0.086305 | delayDensity 0.250000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 4 | peakMod12 4 | maxOddRun 0 | maxEvenRun 1 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase CRYSTALLIZED | entropy 0.0000 | gibbs 0.0000 | amp x1 | odd/even 0/1 | anchor none | below 1538 | lane NO
start 3077 | status CAPTURED | door ANCHOR/COLLECTOR | steps 0 | normDelay 0.000000 | delayDensity 0.000000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 5 | peakMod12 5 | maxOddRun 0 | maxEvenRun 0 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase FROZEN | entropy 1.0000 | gibbs 0.0000 | amp x1 | odd/even 0/0 | anchor 3077 | below none | lane NO
